instance_name,length,width,hollowness
plate_9_10,0.8341322289154696,1,0.1910055562712395,0.9503778085366454
cup_3_8,0.8832554896591119,0.7958313927499345,1,0.9228157726703303
cup_4_5,0.5566172613557803,0.6805828886847219,1,0
to_go_cup_2_9,0.8246000360759629,0.848802352616847,1,0.8794368819090191
bowl_10_2,0.929938029017968,1,0.5116367206901974,0.6988622040590532
ball_8_3,0.619650688420774,1,0.9026843238496615,0
paper_box_8_1,0.3455384391630525,1,0.2414116540131564,0
bowl_9_7,0.9773259699660174,1,0.6244913166820264,0.936075860487946
cup_1_2,0.6076298721250314,0.6152183173046226,1,0.8969671097254203
ball_6_10,0.6231954220510966,0.9960403291185268,1,0
cup_10_10,0.7606807206514455,1,0.7246539071284219,0.8829664553799546
plastic_box_10_2,0.7555443319370568,1,0.3929037357751588,0
bowl_4_9,0.9861426140776267,1,0.5621749002543293,0.9284161111116793
paper_box_6_10,0.5317767191493776,1,0.2559366384304849,0
book_8_9,0.7514884358245264,1,0.108168757351664,0
metal_box_3_6,0.9560398748545281,1,0.3339677055564443,0
plastic_box_4_7,0.8628542964759971,0.9109278810317273,1,0
sponge_6_1,0.7021793573989769,1,0.4088834603006379,0
metal_box_2_1,0.9180504863490785,1,0.7096685014813495,0
tray_7_3,0.5796736295738408,1,0.08286805184111798,0
paper_box_2_2,0.250955609475266,0.6673985584720727,1,0
cup_10_8,0.7560348291681624,1,0.7432997735052417,0.8855288995619293
tray_8_7,0.9900214704207244,1,0.1255996153333766,0
cup_10_6,0.763961042122572,1,0.7271215301152338,0.8829819507407114
paper_box_4_5,0.7934427691815823,1,0.1836817690284927,0
plastic_box_5_6,1,0.8858941805687782,0.3481824539003595,0
to_go_cup_6_2,0.8438470028503002,0.8583625608759609,1,0.8977874626534206
to_go_cup_8_4,0.5855432795821489,0.5459607894938215,1,0.957290721243496
metal_box_9_1,0.6325027827969234,1,0.3160969896726997,0
plate_1_3,0.9399878210639036,1,0.1218094156750072,0.8398644615052357
plate_2_4,0.9354139592181494,1,0.1275777873195539,0.7430385147315671
sponge_4_8,0.8428673303658166,1,0.3192874932438389,0
tray_7_2,0.5590715322014299,1,0.1022717440224941,0.2958688248300402
ball_5_9,0.6306466721502187,1,0.9743828126510263,0
plastic_box_3_8,0.4005830067955209,0.7039481962558674,1,0
bowl_6_6,1,0.9417166721542869,0.4879472268520254,0.8453242537748888
sponge_10_2,0.9043045024737829,1,0.1421961138843847,0
plastic_box_9_10,0.9148235853980077,1,0.5801475765241881,0
paper_box_3_9,0.6618103731399844,1,0.2920475709269131,0
tray_6_1,0.8233034907558697,1,0.08450618797295507,0
ball_9_4,0.8001686922542816,0.9956059074449717,1,0
plastic_box_5_2,1,0.8575330720936621,0.3484538017067848,0
tray_8_9,0.983316892517826,1,0.1344959564174778,0
metal_box_6_4,0.9636831642981891,1,0.2261997651770542,0
book_1_6,1,0.6843380500689281,0.2263468489103366,0
paper_box_5_6,0.5349154688388074,1,0.5907770639340978,0
ball_3_2,0.628303632850227,1,0.7996877541481126,0
cup_2_5,0.6725379068348205,1,0.6695128776587964,0.9734512769398834
paper_box_1_3,1,0.7670015020625927,0.2611028959696556,0
sponge_2_5,0.5600041434919011,1,0.2075635480037687,0
ball_6_4,0.6437336227923418,1,0.9728743693120617,0
book_7_2,0.6813009314914636,1,0.07116166848691555,0
paper_box_9_8,0.3428044414161963,0.6800131541461156,1,0
bowl_6_7,0.9913207978081596,1,0.4771146012755923,0.8586891450459795
sponge_7_5,0.7760705613522283,1,0.4154899730165004,0
cup_4_3,0.5576978602474253,0.6832145722817426,1,0
plate_7_9,1,0.9994358463037573,0.1028316968870154,0.640220351069321
book_5_4,1,0.7129067781187478,0.06213750983126414,0
bowl_4_6,0.9904246982113276,1,0.5768399565704962,0.9300292507345986
paper_box_9_1,0.3394051159310056,0.6819792284584962,1,0
plate_3_4,0.9855811608694036,1,0.1076841783592901,0.7607099157272651
ball_2_6,0.7655169823481126,1,0.9016459236485648,0
to_go_cup_2_4,0.8147884456055109,0.863576225481391,1,0.8775037143439572
tray_5_8,0.7314527306092502,1,0.1155773900264429,0
plastic_box_8_1,0.6915708581240945,1,0.3641360416196046,0
metal_box_6_7,0.9625888933059475,1,0.226110735985907,0
ball_2_4,0.7985800764600423,1,0.9616361931157796,0
tray_4_10,0.6827402211057708,1,0.1262329331829377,0
plastic_box_7_10,0.8044457483123882,0.8554559818668293,1,0
ball_3_9,0.6254807745676888,1,0.8036721421959832,0
plate_9_8,0.8779746277020409,1,0.1814011831253967,0.9480281597928628
to_go_cup_10_6,1,0.8163485083800995,0.9111794203092772,0.7938901371137537
